job.name,scen.name,rep.name,rep.methods,model,coef_of_interest,N,imp_m,imp_maxit,mice_method,dag_name,method,bhat,bhat_lo,bhat_hi,bhat_width,overall.error,beta,form_string,gold_form_string,sancheck.prop_complete,sancheck.di_ours.vars
job_1,1,9,gold ; MICE-std ; MICE-ours,OLS,(Intercept),1000,5,100,norm,2B,MICE-ours,-0.0115705482866113,-0.0820990788433507,0.0589579822701281,0.141057061113479,,0,A ~ 1,A1 ~ 1,0.368,A B
job_1,1,10,gold ; MICE-std ; MICE-ours,OLS,(Intercept),1000,5,100,norm,2B,gold,0.00531071701855168,-0.0544678678966222,0.0650893019337256,0.119557169830348,,0,A ~ 1,A1 ~ 1,0.393,A B
job_1,1,10,gold ; MICE-std ; MICE-ours,OLS,(Intercept),1000,5,100,norm,2B,MICE-std,0.0519311462627556,-0.010395766254788,0.114258058780299,0.124653825035087,,0,A ~ 1,A1 ~ 1,0.393,A B
job_1,1,10,gold ; MICE-std ; MICE-ours,OLS,(Intercept),1000,5,100,norm,2B,MICE-ours,0.063828876728902,0.000856587619142021,0.126801165838662,0.12594457821952,,0,A ~ 1,A1 ~ 1,0.393,A B
job_1,1,11,gold ; MICE-std ; MICE-ours,OLS,(Intercept),1000,5,100,norm,2B,gold,0.0180440586080383,-0.0468877461079634,0.08297586332404,0.129863609432003,,0,A ~ 1,A1 ~ 1,0.38,A B
job_1,1,11,gold ; MICE-std ; MICE-ours,OLS,(Intercept),1000,5,100,norm,2B,MICE-std,0.0334602200996747,-0.053009636113854,0.119930076313204,0.172939712427058,,0,A ~ 1,A1 ~ 1,0.38,A B
job_1,1,11,gold ; MICE-std ; MICE-ours,OLS,(Intercept),1000,5,100,norm,2B,MICE-ours,0.0375292614442746,-0.0390463664581223,0.114104889346672,0.153151255804794,,0,A ~ 1,A1 ~ 1,0.38,A B
job_1,1,12,gold ; MICE-std ; MICE-ours,OLS,(Intercept),1000,5,100,norm,2B,gold,-0.0685271774322522,-0.128978258189411,-0.0080760966750936,0.120902161514317,,0,A ~ 1,A1 ~ 1,0.342,A B
job_1,1,12,gold ; MICE-std ; MICE-ours,OLS,(Intercept),1000,5,100,norm,2B,MICE-std,-0.0847763034454225,-0.176119617215777,0.00656701032493229,0.18268662754071,,0,A ~ 1,A1 ~ 1,0.342,A B
job_1,1,12,gold ; MICE-std ; MICE-ours,OLS,(Intercept),1000,5,100,norm,2B,MICE-ours,-0.0833620386451482,-0.171589359637167,0.00486528234687103,0.176454641984038,,0,A ~ 1,A1 ~ 1,0.342,A B
job_1,1,13,gold ; MICE-std ; MICE-ours,OLS,(Intercept),1000,5,100,norm,2B,gold,0.0249651575121495,-0.0367032280277807,0.0866335430520798,0.123336771079861,,0,A ~ 1,A1 ~ 1,0.378,A B
job_1,1,13,gold ; MICE-std ; MICE-ours,OLS,(Intercept),1000,5,100,norm,2B,MICE-std,0.0379753364903344,-0.0371323634025502,0.113083036383219,0.150215399785769,,0,A ~ 1,A1 ~ 1,0.378,A B
job_1,1,13,gold ; MICE-std ; MICE-ours,OLS,(Intercept),1000,5,100,norm,2B,MICE-ours,0.0497756251577814,-0.0220813105399111,0.121632560855474,0.143713871395385,,0,A ~ 1,A1 ~ 1,0.378,A B
